url_domain,url_subdomain,url_suffix,whois_registrar,whois_server_domain,whois_server_subdomain,whois_server_org,whois_org,url_domain_ip
reunion,,com,"Network Solutions, LLC",networksolutions,whois,com,,21652223218
sportsmemorabilia,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Fanatics Inc.,172224190165
answers,,com,"Network Solutions, LLC",networksolutions,whois,com,,1511010203
readwriteweb,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",184168131241
reunion,,com,"Network Solutions, LLC",networksolutions,whois,com,,21652223218
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",1572401435
google,79.docs,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,74125196100
nydailynews,,com,MarkMonitor Inc.,markmonitor,whois,com,,52212313
thecampvs,,com,Tucows Domains Inc.,tucows,whois,com,,19224112981
fanpix,,net,INWX GmbH & Co. KG,domrobot,whois,com,,174345678
huffingtonpost,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"TheHuffingtonPost.com, Inc.",21282100153
ironmanfrance,,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,91195240103
releaselist,,net,Google LLC,google,whois,com,Contact Privacy Inc. Customer 124434112,173236195105
blogspot,lynetteswhimsy,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,64233185191
strykertoyhaulers,,com,Your Domain LLC,web,whois,com,,1729819236
tombennettphotography,,com,TPP Wholesale Pty Ltd,tppwholesale,whois,com.au,Tom Bennett Photography,1444837151
mdpi,,com,"Network Solutions, LLC",networksolutions,whois,com,,104161068
oceancountyscore,,org,"Wild West Domains, LLC",wildwestdomains,whois,com,Ocean County Score Chapter 150,184168131241
theoffside,timbers,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Vox Media, Inc.",174143208144
behindthebook,,org,"Network Solutions, LLC",networksolutions,whois,com,"Books Alive, Inc.",162241216233
geometry,,net,TIERRANET INC. DBA DOMAINDISCOVER,domaindiscover,whois,com,Whois Privacy Service,74521250
emeraldinvitations,razzledazzle,com,"GoDaddy.com, LLC",godaddy,whois,com,Emerald Invitations,104281850
blogspot,setapartgirlsforeternity,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,64233185191
spokeo,,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,1322645125
philboxing,,com,"ENOM, INC.",ENOM,WHOIS,COM,"Whois Privacy Protection Service, Inc.",193362373
cafam,,org,"Network Solutions, LLC",networksolutions,whois,com,,35184110109
thefreedictionary,acronyms,com,Google LLC,google,whois,com,Contact Privacy Inc. Customer 1242241663,85195124227
mtngetawaycabins,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Mountain Getaway Cabin Rentals, LLC",65254238128
jezebel,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,G/O Media Inc,151101130166
rubicon-trail,,com,"Network Solutions, LLC",networksolutions,whois,com,,208113196111
tfw2005,,com,NameSecure L.L.C.,web,whois,com,,64140162250
computantest,docmitto,com,Namescout.com,Namescout,whois,com,REDACTED FOR PRIVACY,21617217196
youtube,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,74125138190
footballunited,footballtheory,com,Name SRS AB,nameisp,whois,com,REDACTED FOR PRIVACY,9123766110
lead411,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",2041486110
covingtonelectric,,com,"Network Solutions, LLC",networksolutions,whois,com,,2089119727
vertor,,com,"DNC Holdings, Inc",directnic,whois,com,"DVLPMNT MARKETING, INC.",1821620136
q,,gs,1API GmbH,,,,x19 Limited,104264238
40acres,,com,"Network Solutions, LLC",networksolutions,whois,com,,205178189131
veromi,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",10424122196
metrodemontreal,,com,NAMECHEAP INC,namecheap,whois,com,"WhoisGuard, Inc.",72551867
heavenlydoctrines,,org,"NameSilo, LLC",namesilo,whois,com,See PrivacyGuardian.org,1823613078
mubi,,com,GANDI SAS,gandi,whois,net,MUBI,1821119365
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",1572401435
examiner,,com,"GoDaddy.com, LLC",godaddy,whois,com,"AXS Digital Media Group, LLC",522692115
google,picasaweb,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,74125196100
schoolfinder,,com,"Network Solutions, LLC",networksolutions,whois,com,,7598199107
historicnewengland,,org,"GoDaddy.com, LLC",godaddy,whois,com,Historic New England,10426282
mail--club,news,com,"SNAPNAMES 27, LLC",web,whois,com,,46166182109
keithwilliamslawgroup,,com,"ENOM, INC.",ENOM,WHOIS,COM,"Whois Privacy Protection Service, Inc.",1987123323
godrakebulldogs,,com,"GoDaddy.com, LLC",godaddy,whois,com,Drake University Athletics,671922820
zoominfo,,com,"Network Solutions, LLC",networksolutions,whois,com,,1041610112
blackandredunited,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Vox Media, Inc.",1511012125
answers,,com,"Network Solutions, LLC",networksolutions,whois,com,,1511010203
wikimedia,commons,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
aboutus,,org,Porkbun LLC,porkbun,whois,com,"Private by Design, LLC",320915130
flickr,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"SmugMug, Inc.",133510919
weplaysports,,com,"GoDaddy.com, LLC",godaddy,whois,com,"WePlay Sports, Inc.",184168131241
gproper,,com,"GoDaddy.com, LLC",godaddy,whois,com,OTAA Enterprises,192185114191
alibaba,,com,"Alibaba Cloud Computing (Beijing) Co., Ltd.",hichina,grs-whois,com,,19811132198
simonandschuster,books,com,"MarkMonitor, Inc.",markmonitor,whois,com,Simon & Schuster,54225165115
go,soccernet.espn,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Disney Enterprises, Inc.",2323660174
mirageaudiovisual,,com,Firstround Names LLC,web,whois,com,,209996418
amazon,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Amazon Technologies, Inc.",205251242103
powells,,com,"Cloudflare, Inc.",cloudflare,whois,com,DATA REDACTED,130250131110
sandpoint,,com,"Network Solutions, LLC",networksolutions,whois,com,,17414311130
wibw,,com,"GoDaddy.com, LLC",godaddy,whois,com,Gray Television,52444261
sacredpause,,com,"GoDaddy.com, LLC",godaddy,whois,com,Sacred Pause,6916205175
spoilertv,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",2162393821
frederickbuilders,,org,"Network Solutions, LLC",networksolutions,whois,com,Frederick County Building Industry Association,3517382140
legacy,,com,"Network Solutions, LLC",networksolutions,whois,com,,2161464610
sumtercountyhistory,,com,"Network Solutions, LLC",networksolutions,whois,com,,6960160138
allstarpics,,net,INWX GmbH & Co. KG,domrobot,whois,com,,174345678
redfin,,com,"GoDaddy.com, LLC",godaddy,whois,com,Redfin Inc.,216211130168
1st-art-gallery,,com,"DOMAINPEOPLE, INC.",DOMAINPEOPLE,WHOIS,COM,WhoisProtector Inc.,6615411266
wikipedia,en,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
alibris,,com,"GoDaddy.com, LLC",godaddy,whois,com,Alibris,10416137245
mp3bear,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",1041861230
answers,,com,"Network Solutions, LLC",networksolutions,whois,com,,1511010203
thenarrowssaloon,,com,"Launchpad, Inc. (HostGator)",launchpad,whois,com,"Privacy Protect, LLC (PrivacyProtect.org)",10423871109
sbnation,tampabay,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Vox Media, Inc.",15110112952
spokeo,,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,132264570
yelp,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Yelp Inc.,104165723
stm,,info,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",20725312240
zipcodemapphoenix,,com,"GoDaddy.com, LLC",godaddy,whois,com,Wide World of Maps,184168131241
azlyrics,,com,NAMECHEAP INC,namecheap,whois,com,"WhoisGuard, Inc.",57976225
lyricsmode,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",1781822163
wikipedia,en,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
rejetto,www,com,Google LLC,google,whois,com,Contact Privacy Inc. Customer 1242164480,18520497
blogspot,shawn-klush,com,MarkMonitor Inc.,markmonitor,whois,com,,64233185191
entrepreneur,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Entrepreneur Media, Inc.",15110112869
answers,wiki,com,"Network Solutions, LLC",networksolutions,whois,com,,1511010203
famoustattoos,famous,net,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",184168131241
stephenclarkewriter,,com,"OVH, SAS",ovh,whois,com,The Random House Group Limited,53970166
lafdsertoma,,org,"Wild West Domains, LLC",wildwestdomains,whois,com,"Domains By Proxy, LLC",506320294
vets-hall,,org,"Network Solutions, LLC",networksolutions,whois,com,Compudyne Inc,205186175159
b-westerns,,com,"Network Solutions, LLC",networksolutions,whois,com,,34215100204
landesbioscience,,com,Safenames Ltd,safenames,whois,net,,21719248132
cmgonline,,com,"GoDaddy.com, LLC",godaddy,whois,com,Triple C Media,173255238145
alacrastore,,com,"Network Solutions, LLC",networksolutions,whois,com,,74205183
shortopedia,,com,Namegrab LLC,web,whois,com,,45380110
bandguru,,com,PDR Ltd. d/b/a PublicDomainRegistry.com,publicdomainregistry,whois,com,BANDGURU.COM,2322918732
barnesandnoble,search,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,barnesandnoble.com llc,16122174213
allposters,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Art.com, Inc.",2047499100
zap2it,tvbythenumbers,com,"MarkMonitor, Inc.",markmonitor,whois,com,Tribune Media Company,523142107
mp3bear,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",1041861230
geneanet,gw3,org,GANDI SAS,gandi,whois,net,"['GeneaNet - Associations', 'GeneaNet SA']",147781445
foreignpolicy,drezner,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,The Slate Group LLC,192066136
musicnotes,,com,"Network Solutions, LLC",networksolutions,whois,com,,2320070253
unitedstatesreferral,,com,"Wild West Domains, LLC",wildwestdomains,whois,com,,35183160134
hapuka,,com,Tucows Domains Inc.,tucows,whois,com,,232273865
amazon,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Amazon Technologies, Inc.",205251242103
geneanet,gw1,org,GANDI SAS,gandi,whois,net,"['GeneaNet - Associations', 'GeneaNet SA']",147781445
hotels,,com,NOM-IQ Ltd dba Com Laude,comlaude,whois,com,"Hotels.com, L.P.",2349180158
wikipedia,en,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
mspaintart,,com,"Namesourcedomains, LLC",web,whois,com,,204115648
clarin,weblogs,com,"Network Solutions, LLC",networksolutions,whois,com,,104181822
ezinearticles,,com,Tucows Domains Inc.,tucows,whois,com,,6913510157
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",1572401435
tccandler,,com,"Network Solutions, LLC",networksolutions,whois,com,,14420871114
youtube,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,17221710206
tjylqc,,com,"Alibaba Cloud Computing (Beijing) Co., Ltd.",hichina,grs-whois,com,,5097231182
spokeo,,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,132264547
trustedd,bloggingtothebank,com,"Name.com, Inc.",name,whois,com,"Domain Protection Services, Inc.",312415713
trinigourmet,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",1043166221
calgaryherald,,com,WEBNAMES.CA INC,webnames,whois,ca,Postmedia Network Inc.,152231397
go890,,com,"eName Technology Co.,Ltd.",ename,whois,com,,11997174198
corporationwiki,,com,"GoDaddy.com, LLC",godaddy,whois,com,Sagewire Research LLC,104260160
youtube,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,17221710206
plymouthdata,,info,Key-Systems GmbH,rrpproxy,whois,net,Hush Whois Protection Ltd.,10424781107
globenewswire,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,West Corporation,4560170224
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",1572401435
youtube,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,17221710206
andkon,,com,"Epik, Inc.",epik,whois,com,"Anonymize, Inc.",204197244146
nkgamers,,com,XINNET TECHNOLOGY CORPORATION,paycenter,whois,com.cn,REDACTED FOR PRIVACY,14416895243
sfgate,articles,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Hearst Communications, Inc.",9812922859
jjhuddle,ohsfca,com,"MarkMonitor, Inc.",markmonitor,whois,com,CBS Interactive Inc.,6430228118
paseo-ftmyers,,com,"GoDaddy.com, LLC",godaddy,whois,com,SD,1841065566
davidblummusiciananddreamer,,com,"GoDaddy.com, LLC",godaddy,whois,com,,1041725109
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",1572401435
linkedin,,com,"MarkMonitor, Inc.",markmonitor,whois,com,LinkedIn Corporation,1081741010
nationalfootballauthority,,com,Domaintimemachine.com LLC,web,whois,com,,1042713062
yourdictionary,biography,com,"Network Solutions, LLC",networksolutions,whois,com,,13329094
gcatholic,,com,"TurnCommerce, Inc. DBA NameBright.com",NameBright,whois,com,HugeDomains.com,232023912
reuters,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Thomson Reuters Enterprise Centre GmbH,52261110
encyclopedia,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",10426813
nekg-vt,,com,"NetEarth One, Inc.",netearthone,whois,com,WHOIS IDCPrivacy Service c/o IDC (BVI) Limited,147185114137
indeed,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Indeed, Inc",1821611470
hfboards,,com,"GoDaddy.com, LLC",godaddy,whois,com,"CraveOnline Media, LLC",104317416
bacchusonmain,,com,"Network Solutions, LLC",networksolutions,whois,com,,198181229231
roc55,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Local News, Inc.",107180366
kansascity,,com,"Network Solutions, LLC",networksolutions,whois,com,,16610832245
eightysixforever,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Vox Media, Inc.",151101194125
mylife,,com,"Network Solutions, LLC",networksolutions,whois,com,,21652223150
alexrosscollector,,com,"Network Solutions, LLC",networksolutions,whois,com,,185531786
insidemnsoccer,,com,"GoDaddy.com, LLC",godaddy,whois,com,Media Source Plus Ltd,10975172241
craigsdesigns,,com,"GoDaddy.com, LLC",godaddy,whois,com,,1601539239
docstoc,,com,"GoDaddy.com, LLC",godaddy,whois,com,Intuit Inc.,18416822161
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",1572401435
nakatomiinc,,com,NAMECHEAP INC,namecheap,whois,com,"WhoisGuard, Inc.",34214224121
ocry,www.myinfo,com,PDR Ltd. d/b/a PublicDomainRegistry.com,publicdomainregistry,whois,com,changeip.com,209208462
jfk-online,,com,"Deluxe Small Business Sales, Inc. d/b/a Aplus.net",names4ever,whois,com,David Reitzes,6429151221
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",1572401435
mylife,,com,"Network Solutions, LLC",networksolutions,whois,com,,21652223150
turnbacktogod,,com,NAMECHEAP INC,namecheap,whois,com,,19223223538
ohnono,,com,1&1 IONOS SE,ionos,whois,com,1&1 Internet AG,9119524013
easterniowanewsnow,,com,"GoDaddy.com, LLC",godaddy,whois,com,,10416123138
hollandcollege,,com,"DOMAIN REGISTRATION SERVICES, INC DBA DOTEARTH.COM",dotEarth,whois,com,REDACTED FOR PRIVACY,14287248244
youtube,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,17221710206
zippedonlinedoc,,com,FastDomain Inc.,bluehost,whois,com,,742201996
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",1572401435
mapquest,,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,548834121
onlinedetective,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",96458329
reelz,,com,"GoDaddy.com, LLC",godaddy,whois,com,Hubbard Media Group,522078110
dyndns,therhoadesfamily,org,"MarkMonitor, Inc.",markmonitor,whois,com,Oracle Corporation,162881754
mylife,,com,"Network Solutions, LLC",networksolutions,whois,com,,21652223150
wn,,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,19514984100
ustaeasternhalloffame,,com,"GoDaddy.com, LLC",godaddy,whois,com,"USTA Eastern, Inc.",662267028
linkedin,,com,"MarkMonitor, Inc.",markmonitor,whois,com,LinkedIn Corporation,1081741010
mcyengineering,,com,Tucows Domains Inc.,tucows,whois,com,,3520822738
space,,com,Lexsynergy Limited,lexsynergy,whois,com,Future Publishing Limited,1851132556
nme,,com,"Amazon Registrar, Inc.",amazon,whois.registrar,com,Whois Privacy Service,1332859
zimbio,,com,Google LLC,google,whois,com,Contact Privacy Inc. Customer 1242283824,15110166217
ono,79.109.3.206.dyn.user,com,NOMINALIA INTERNET S.L.,nominalia,whois,com,"Vodafone Ono, SAU",624223017
isohunt,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Motion Picture Association, Inc.",18207928
myspace,,com,"Network Solutions, LLC",networksolutions,whois,com,,631359070
biomedexperts,,com,Safenames Ltd,safenames,whois,net,,522896204
fleshbot,,com,NAMECHEAP INC,namecheap,whois,com,SK Intertainment,6624414464
mtspring,,com,"GoDaddy.com, LLC",godaddy,whois,com,Mount Spring International,173214187183
dumb1,www.vaseline,com,PDR Ltd. d/b/a PublicDomainRegistry.com,publicdomainregistry,whois,com,changeip.com,209208462
yimg,xa1,com,"MarkMonitor, Inc.",markmonitor,whois,com,Oath Inc.,746136150
berecruited,blogs,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",541526292
andersoncarriagefoodhouse,,com,PDR Ltd. d/b/a PublicDomainRegistry.com,publicdomainregistry,whois,com,"Privacy Protect, LLC (PrivacyProtect.org)",103224182239
ourfamilyhistories,,org,"New Frontier, Inc.",newfrontier,whois,domains,"Domain Protection Services, Inc.",104168159247
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",1572401435
anikaguesthouse,,com,"GoDaddy.com, LLC",godaddy,whois,com,Anika Group,6973180180
ancestry,homepages.rootsweb,com,"MarkMonitor, Inc.",markmonitor,whois,com,Ancestry.com Operations Inc.,4560149132
pornhub,,com,Eurodns S.A.,eurodns,whois,com,Whois Privacy (enumDNS dba),6625411441
junglekey,,com,"OVH, SAS",ovh,whois,com,,188165719
nhl,mapleleafs,com,Moniker Online Services LLC,moniker,whois,com,REDACTED FOR PRIVACY,82073150
plannedparenthood,,org,"Network Solutions, LLC",networksolutions,whois,com,Planned Parenthood Federation of America,10416105168
linkedin,,com,"MarkMonitor, Inc.",markmonitor,whois,com,LinkedIn Corporation,1081741010
lyrics,,com,"GoDaddy.com, LLC",godaddy,whois,com,STANDS4 LLC,5201217
imdb,,com,MarkMonitor Inc.,markmonitor,whois,com,,5294228167
emusic,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",342357126
Ungelie,,com,123-Reg Limited,meshdigital,whois,com,Identity Protect Limited,5087144108
leoslyrics,,com,"Sea Wasp, LLC",fabulous,whois,com,"Savvy Investments, LLC Privacy ID# 931533",103224182253
themeparkhotelservice,warnerbrosmovieworldmadrid,com,"GoDaddy.com, LLC",godaddy,whois,com,AirportHotelGuide.com,5011612178
gradesaver,,com,"Network Solutions, LLC",networksolutions,whois,com,,542107390
wsj,online,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Dow Jones & Company, Inc.",133511887
centriq,,com,"GoDaddy.com, LLC",godaddy,whois,com,,13640745
ebay,,com,"MarkMonitor, Inc.",markmonitor,whois,com,eBay Inc.,66135196249
virtualspectrum,,com,"Network Solutions, LLC",networksolutions,whois,com,,1645214616
tmz,,com,MarkMonitor Inc.,markmonitor,whois,com,,321917476
drizzten,,com,"GoDaddy.com, LLC",godaddy,whois,com,gembalaindonesia,456371233
tfw2005,,com,NameSecure L.L.C.,web,whois,com,,64140162250
dipdive,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",184168131241
yamato-touch,,com,XINNET TECHNOLOGY CORPORATION,paycenter,whois,com.cn,REDACTED FOR PRIVACY,47245192
youtube,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,17221710206
worthpoint,,com,"GoDaddy.com, LLC",godaddy,whois,com,Worthpoint Corporation,5287105188
eatingrules,,com,"Cloudflare, Inc.",cloudflare,whois,com,DATA REDACTED,104182344
discogs,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Zink Media, Inc.",21615117150
healthgrades,,com,"Amazon Registrar, Inc.",amazon,whois.registrar,com,Whois Privacy Service,13328580
